买入时间,买入id,物品名称
2022-09-15T17:59:14.000+08:00,28515,坐鹿罗汉#48517
2022-09-15T15:45:12.000+08:00,28675,坐鹿罗汉#27875
2022-09-15T15:29:06.000+08:00,31897,坐鹿罗汉#18409
2022-09-15T15:27:26.000+08:00,31897,坐鹿罗汉#7827
2022-09-15T15:26:16.000+08:00,31897,坐鹿罗汉#37674
2022-09-15T15:24:30.000+08:00,31900,坐鹿罗汉#12556
2022-09-15T15:23:51.000+08:00,31900,坐鹿罗汉#69080
2022-09-15T15:23:36.000+08:00,31900,坐鹿罗汉#69079
2022-09-15T15:23:20.000+08:00,31900,坐鹿罗汉#11945
2022-09-15T15:23:10.000+08:00,31900,坐鹿罗汉#19858
2022-09-15T15:22:40.000+08:00,31900,坐鹿罗汉#3475
2022-09-15T15:21:45.000+08:00,31900,坐鹿罗汉#72241
2022-09-15T15:21:15.000+08:00,31900,坐鹿罗汉#43575
2022-09-15T14:46:34.000+08:00,30845,坐鹿罗汉#36079
2022-09-15T14:39:08.000+08:00,28515,坐鹿罗汉#22137
2022-09-15T14:37:13.000+08:00,29665,坐鹿罗汉#65885
2022-09-15T14:07:26.000+08:00,31392,坐鹿罗汉#32771
2022-09-15T13:38:00.000+08:00,28515,坐鹿罗汉#46029
2022-09-15T10:57:33.000+08:00,31392,坐鹿罗汉#51039
2022-09-15T10:57:06.000+08:00,31392,坐鹿罗汉#28738
2022-09-15T10:36:09.000+08:00,31392,坐鹿罗汉#66506
2022-09-15T10:35:49.000+08:00,31392,坐鹿罗汉#66505
2022-09-15T10:11:08.000+08:00,28675,坐鹿罗汉#27869
2022-09-15T09:21:37.000+08:00,33108,坐鹿罗汉#36235
2022-09-15T09:18:57.000+08:00,29085,坐鹿罗汉#16407
2022-09-15T07:29:15.000+08:00,28675,坐鹿罗汉#28163
2022-09-15T07:16:41.000+08:00,28675,坐鹿罗汉#2353
2022-09-15T06:09:58.000+08:00,28675,坐鹿罗汉#58561
2022-09-15T05:07:28.000+08:00,28675,坐鹿罗汉#49595
2022-09-15T05:00:34.000+08:00,28675,坐鹿罗汉#49594
2022-09-15T05:00:14.000+08:00,28675,坐鹿罗汉#49592
2022-09-15T04:53:32.000+08:00,28675,坐鹿罗汉#44393
2022-09-15T00:59:13.000+08:00,31900,坐鹿罗汉#67525
2022-09-15T00:58:58.000+08:00,31900,坐鹿罗汉#60770
2022-09-15T00:58:28.000+08:00,31900,坐鹿罗汉#38484
2022-09-15T00:58:02.000+08:00,31900,坐鹿罗汉#38338
2022-09-15T00:57:30.000+08:00,31900,坐鹿罗汉#41024
2022-09-15T00:56:59.000+08:00,31900,坐鹿罗汉#10250
2022-09-15T00:55:42.000+08:00,31900,坐鹿罗汉#67217
2022-09-15T00:55:09.000+08:00,31900,坐鹿罗汉#65380
2022-09-15T18:03:49.000+08:00,27586,过江罗汉#59667
2022-09-15T18:03:33.000+08:00,27586,过江罗汉#59666
2022-09-15T18:03:04.000+08:00,27586,过江罗汉#59665
2022-09-15T17:38:02.000+08:00,36934,过江罗汉#77125
2022-09-15T17:30:37.000+08:00,36934,过江罗汉#39721
2022-09-15T17:30:12.000+08:00,36934,过江罗汉#59663
2022-09-15T17:24:16.000+08:00,36934,过江罗汉#16103
2022-09-15T15:44:28.000+08:00,28675,过江罗汉#27139
2022-09-15T15:34:51.000+08:00,31897,过江罗汉#60384
2022-09-15T15:28:01.000+08:00,31897,过江罗汉#27127
2022-09-15T15:17:05.000+08:00,29026,过江罗汉#44793
2022-09-15T15:16:30.000+08:00,29026,过江罗汉#22317
2022-09-15T15:15:55.000+08:00,29026,过江罗汉#22315
2022-09-15T15:15:30.000+08:00,27586,过江罗汉#17648
2022-09-15T15:15:20.000+08:00,29026,过江罗汉#7228
2022-09-15T15:13:25.000+08:00,31123,过江罗汉#44802
2022-09-15T15:13:10.000+08:00,28040,过江罗汉#30005
2022-09-15T15:11:45.000+08:00,31123,过江罗汉#44796
2022-09-15T15:11:04.000+08:00,31123,过江罗汉#67934
2022-09-15T15:10:30.000+08:00,31123,过江罗汉#67937
2022-09-15T15:10:10.000+08:00,31123,过江罗汉#67933
2022-09-15T15:09:49.000+08:00,31123,过江罗汉#44804
2022-09-15T15:09:20.000+08:00,31123,过江罗汉#42631
2022-09-15T15:04:04.000+08:00,29026,过江罗汉#31788
2022-09-15T14:47:18.000+08:00,30845,过江罗汉#22952
2022-09-15T14:37:53.000+08:00,27545,过江罗汉#2981
2022-09-15T14:36:58.000+08:00,27545,过江罗汉#13079
2022-09-15T14:34:23.000+08:00,27586,过江罗汉#66175
2022-09-15T14:33:57.000+08:00,29665,过江罗汉#66634
2022-09-15T14:33:27.000+08:00,27586,过江罗汉#17045
2022-09-15T14:33:07.000+08:00,27586,过江罗汉#66595
2022-09-15T14:32:38.000+08:00,27586,过江罗汉#17043
2022-09-15T14:21:17.000+08:00,27586,过江罗汉#64945
2022-09-15T14:17:41.000+08:00,27586,过江罗汉#67879
2022-09-15T14:15:12.000+08:00,29665,过江罗汉#41292
2022-09-15T14:14:17.000+08:00,28040,过江罗汉#35762
2022-09-15T13:53:55.000+08:00,27586,过江罗汉#15780
2022-09-15T13:52:50.000+08:00,27586,过江罗汉#36293
2022-09-15T13:50:15.000+08:00,27586,过江罗汉#36301
2022-09-15T13:42:19.000+08:00,29665,过江罗汉#73862
2022-09-15T17:44:22.000+08:00,31237,洋药方治病#1442
2022-09-15T17:44:08.000+08:00,31237,洋药方治病#122
2022-09-15T17:43:53.000+08:00,31237,洋药方治病#2734
2022-09-15T17:42:56.000+08:00,31237,洋药方治病#3192
2022-09-15T17:42:38.000+08:00,31237,洋药方治病#3679
2022-09-15T17:42:23.000+08:00,31237,洋药方治病#3435
2022-09-15T17:14:45.000+08:00,31237,洋药方治病#5069
2022-09-15T17:14:20.000+08:00,31237,洋药方治病#243
2022-09-15T17:14:05.000+08:00,31237,洋药方治病#142
2022-09-15T17:13:50.000+08:00,31237,洋药方治病#922
2022-09-15T17:13:35.000+08:00,31237,洋药方治病#66
2022-09-15T17:11:10.000+08:00,28414,洋药方治病#2176
2022-09-15T17:10:45.000+08:00,28414,洋药方治病#100
2022-09-15T16:57:46.000+08:00,31046,洋药方治病#3271
2022-09-15T16:54:04.000+08:00,31046,洋药方治病#3319
2022-09-15T16:53:00.000+08:00,27463,洋药方治病#4959
2022-09-15T16:52:25.000+08:00,27463,洋药方治病#4962
2022-09-15T16:40:54.000+08:00,30490,洋药方治病#1907
2022-09-15T16:40:30.000+08:00,30490,洋药方治病#3421
2022-09-15T16:34:44.000+08:00,28645,洋药方治病#2162
2022-09-15T16:29:14.000+08:00,28898,洋药方治病#2123
2022-09-15T16:09:18.000+08:00,30490,洋药方治病#2034
2022-09-15T16:08:48.000+08:00,31046,洋药方治病#2829
2022-09-15T16:01:22.000+08:00,33215,洋药方治病#1912
2022-09-15T15:58:57.000+08:00,28413,洋药方治病#786
2022-09-15T15:55:22.000+08:00,31804,洋药方治病#2811
2022-09-15T15:29:06.000+08:00,28624,洋药方治病#5006
2022-09-15T15:12:35.000+08:00,30203,洋药方治病#1436
2022-09-15T13:08:32.000+08:00,31237,洋药方治病#3566
2022-09-15T13:08:13.000+08:00,31237,洋药方治病#3213
2022-09-15T13:07:58.000+08:00,31237,洋药方治病#3552
2022-09-15T12:36:23.000+08:00,38506,洋药方治病#357
2022-09-15T12:34:32.000+08:00,38506,洋药方治病#1544
2022-09-15T12:30:16.000+08:00,38506,洋药方治病#2060
2022-09-15T12:29:46.000+08:00,38506,洋药方治病#3303
2022-09-15T12:28:07.000+08:00,40507,洋药方治病#2993
2022-09-15T12:05:20.000+08:00,28971,洋药方治病#1267
2022-09-15T12:04:30.000+08:00,28971,洋药方治病#2854
2022-09-15T11:45:40.000+08:00,36920,洋药方治病#2734
2022-09-15T11:42:29.000+08:00,30203,洋药方治病#3346
2022-09-15T17:15:05.000+08:00,31237,煤山恨#3300
2022-09-15T17:13:10.000+08:00,31237,煤山恨#1261
2022-09-15T17:12:40.000+08:00,31237,煤山恨#40
2022-09-15T17:12:25.000+08:00,31237,煤山恨#41
2022-09-15T16:57:40.000+08:00,29914,煤山恨#1022
2022-09-15T16:57:04.000+08:00,29914,煤山恨#3720
2022-09-15T16:56:05.000+08:00,29914,煤山恨#4949
2022-09-15T16:55:16.000+08:00,36371,煤山恨#3114
2022-09-15T16:53:30.000+08:00,27463,煤山恨#3832
2022-09-15T16:52:55.000+08:00,28888,煤山恨#4918
2022-09-15T16:50:36.000+08:00,31046,煤山恨#3420
2022-09-15T16:49:44.000+08:00,27463,煤山恨#3145
2022-09-15T16:49:25.000+08:00,27463,煤山恨#1398
2022-09-15T16:48:40.000+08:00,27463,煤山恨#1715
2022-09-15T16:48:14.000+08:00,27463,煤山恨#771
2022-09-15T16:47:50.000+08:00,36371,煤山恨#1170
2022-09-15T16:41:34.000+08:00,30490,煤山恨#1260
2022-09-15T16:39:19.000+08:00,28179,煤山恨#4671
2022-09-15T16:34:14.000+08:00,28645,煤山恨#2332
2022-09-15T16:33:54.000+08:00,28645,煤山恨#4692
