,Unnamed: 0,视频链接,评论内容,评论点赞,评论回复,视频时间,comment_text_new,scores,compound,Negtive,Postive,Neutral,comp_score
0,0,https://www.youtube.com/watch?v=KW_t6P-nxjE,Season 6 and it’s counterpart is the best. Next season 6 will probably be even better!,191,17,2021-08-02T00:03:40Z,season counterpart season,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neu
1,1,https://www.youtube.com/watch?v=KW_t6P-nxjE,This Season for sure gave my phone the Heat… Thank You CODM for the Oven update.,99,8,2021-08-02T00:25:09Z,season phone heat codm oven update,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neu
2,2,https://www.youtube.com/watch?v=KW_t6P-nxjE,love that gold,56,8,2021-08-02T00:47:28Z,love gold,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,0.0,0.808,0.192,pos
3,3,https://www.youtube.com/watch?v=KW_t6P-nxjE,Good Job Team.<br>I appreciate all the effort that you guys put into Call of Duty Mobile for making us happy.<br>And I&#39;m happy with this update,18,3,2021-08-02T02:03:13Z,job team br effort guys call duty mobile happy br happy update,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.8126}",0.8126,0.0,0.425,0.575,pos
4,4,https://www.youtube.com/watch?v=KW_t6P-nxjE,every time this gets more incredible 👀,124,8,2021-08-02T00:05:10Z,time incredible,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neu
5,5,https://www.youtube.com/watch?v=KW_t6P-nxjE,"Price and soap in the same Battle pass<br>This is one of the best things to ever happen in the game, thank you codm devs",47,3,2021-08-02T00:11:22Z,price soap battle pass br happen game codm devs,"{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.3818}",-0.3818,0.245,0.0,0.755,neg
6,6,https://www.youtube.com/watch?v=KW_t6P-nxjE,Cuento las horas para que salga la nueva temporada,0,0,2021-07-29T18:31:00Z,cuento las horas para salga la nueva temporada,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neu
7,7,https://www.youtube.com/watch?v=KW_t6P-nxjE,"<a href=""https://www.youtube.com/watch?v=KW_t6P-nxjE&amp;t=0m19s"">0:19</a> soap- Drop it<br><a href=""https://www.youtube.com/watch?v=KW_t6P-nxjE&amp;t=0m27s"">0:27</a> Rosa- Soap<br><a href=""https://www.youtube.com/watch?v=KW_t6P-nxjE&amp;t=0m29s"">0:29</a> soap- Let&#39;s party",76,8,2021-08-02T00:11:53Z,href soap drop br href rosa soap br href soap party,"{'neg': 0.152, 'neu': 0.652, 'pos': 0.196, 'compound': 0.1531}",0.1531,0.152,0.196,0.652,pos
8,8,https://www.youtube.com/watch?v=KW_t6P-nxjE,Love how the trailer drops after the season is released lmaooo,59,5,2021-08-02T01:10:10Z,love trailer drops season released lmaoo,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}",0.6369,0.0,0.457,0.543,pos
9,9,https://www.youtube.com/watch?v=KW_t6P-nxjE,Looks like an awesome season 🔥,0,0,2021-07-29T07:06:27Z,awesome season,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,0.0,0.804,0.196,pos
10,10,https://www.youtube.com/watch?v=KW_t6P-nxjE,CODM thank you for at least releasing zombies again and the work put into it ❤,24,0,2021-08-02T00:07:55Z,codm releasing zombies,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neu
11,11,https://www.youtube.com/watch?v=KW_t6P-nxjE,Thanks for the wonderful battle pass.,3,0,2021-08-02T01:55:29Z,wonderful battle pass,"{'neg': 0.356, 'neu': 0.137, 'pos': 0.507, 'compound': 0.2732}",0.2732,0.356,0.507,0.137,pos
12,12,https://www.youtube.com/watch?v=KW_t6P-nxjE,this season battle pass has that vibe of season 10,0,0,2021-08-02T05:48:32Z,season battle pass vibe season,"{'neg': 0.394, 'neu': 0.606, 'pos': 0.0, 'compound': -0.3818}",-0.3818,0.394,0.0,0.606,neg
13,13,https://www.youtube.com/watch?v=KW_t6P-nxjE,Will the original shi no numa comeback we missed those:(,31,4,2021-08-02T00:30:46Z,original shi numa comeback missed,"{'neg': 0.293, 'neu': 0.4, 'pos': 0.307, 'compound': 0.0258}",0.0258,0.293,0.307,0.4,pos
14,14,https://www.youtube.com/watch?v=KW_t6P-nxjE,Muito linda essas eskin,0,0,2021-08-02T00:04:41Z,muito linda essas eskin,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,neu
