,视频链接,评论内容,评论点赞,评论回复,视频时间,comment_text_new
0,https://www.youtube.com/watch?v=KW_t6P-nxjE,Season 6 and it’s counterpart is the best. Next season 6 will probably be even better!,191,17,2021-08-02T00:03:40Z,season counterpart season
1,https://www.youtube.com/watch?v=KW_t6P-nxjE,This Season for sure gave my phone the Heat… Thank You CODM for the Oven update.,99,8,2021-08-02T00:25:09Z,season phone heat codm oven update
2,https://www.youtube.com/watch?v=KW_t6P-nxjE,love that gold,56,8,2021-08-02T00:47:28Z,love gold
3,https://www.youtube.com/watch?v=KW_t6P-nxjE,Good Job Team.<br>I appreciate all the effort that you guys put into Call of Duty Mobile for making us happy.<br>And I&#39;m happy with this update,18,3,2021-08-02T02:03:13Z,job team br effort guys call duty mobile happy br happy update
4,https://www.youtube.com/watch?v=KW_t6P-nxjE,every time this gets more incredible 👀,124,8,2021-08-02T00:05:10Z,time incredible
5,https://www.youtube.com/watch?v=KW_t6P-nxjE,"Price and soap in the same Battle pass<br>This is one of the best things to ever happen in the game, thank you codm devs",47,3,2021-08-02T00:11:22Z,price soap battle pass br happen game codm devs
6,https://www.youtube.com/watch?v=KW_t6P-nxjE,Cuento las horas para que salga la nueva temporada,0,0,2021-07-29T18:31:00Z,cuento las horas para salga la nueva temporada
7,https://www.youtube.com/watch?v=KW_t6P-nxjE,"<a href=""https://www.youtube.com/watch?v=KW_t6P-nxjE&amp;t=0m19s"">0:19</a> soap- Drop it<br><a href=""https://www.youtube.com/watch?v=KW_t6P-nxjE&amp;t=0m27s"">0:27</a> Rosa- Soap<br><a href=""https://www.youtube.com/watch?v=KW_t6P-nxjE&amp;t=0m29s"">0:29</a> soap- Let&#39;s party",76,8,2021-08-02T00:11:53Z,href soap drop br href rosa soap br href soap party
8,https://www.youtube.com/watch?v=KW_t6P-nxjE,Love how the trailer drops after the season is released lmaooo,59,5,2021-08-02T01:10:10Z,love trailer drops season released lmaoo
9,https://www.youtube.com/watch?v=KW_t6P-nxjE,Looks like an awesome season 🔥,0,0,2021-07-29T07:06:27Z,awesome season
10,https://www.youtube.com/watch?v=KW_t6P-nxjE,CODM thank you for at least releasing zombies again and the work put into it ❤,24,0,2021-08-02T00:07:55Z,codm releasing zombies
11,https://www.youtube.com/watch?v=KW_t6P-nxjE,Thanks for the wonderful battle pass.,3,0,2021-08-02T01:55:29Z,wonderful battle pass
12,https://www.youtube.com/watch?v=KW_t6P-nxjE,this season battle pass has that vibe of season 10,0,0,2021-08-02T05:48:32Z,season battle pass vibe season
13,https://www.youtube.com/watch?v=KW_t6P-nxjE,Will the original shi no numa comeback we missed those:(,31,4,2021-08-02T00:30:46Z,original shi numa comeback missed
14,https://www.youtube.com/watch?v=KW_t6P-nxjE,Muito linda essas eskin,0,0,2021-08-02T00:04:41Z,muito linda essas eskin
15,https://www.youtube.com/watch?v=KW_t6P-nxjE,Call of duty gracias por a ver metido zombies en call of duty mobiles,8,0,2021-08-02T00:04:29Z,call duty gracias por ver metido zombies en call duty mobiles
