发文时间,内容信息
2022-06-23T15:54:05.149000+00:00,"A new legend is coming to Apex Legends Mobile, meet **Fade** by checking out their intro video within the tweet below! https://twitter.com/playapexmobile/status/1539986650138157056?s=21&t=6mGh9GcQozcugOubtahAXg "
2022-06-23T14:36:11.597000+00:00,fpp plat 5 middle east
2022-06-23T14:17:58.654000+00:00,Congrats  ! You've unlocked **Chat Level 1!**
2022-06-23T14:17:58.474000+00:00,hi
2022-06-23T14:11:37.150000+00:00,Hi
2022-06-23T14:08:33.691000+00:00,Hi
2022-06-23T13:48:26.867000+00:00,bots
2022-06-23T13:48:24.480000+00:00,fighting
2022-06-23T13:48:21.398000+00:00,enjoy
2022-06-23T12:46:30.956000+00:00,Any comments
2022-06-23T12:46:23.330000+00:00,Guys I just started Apex legends
2022-06-23T11:27:14.470000+00:00,Any1 knows a good vid editing app?
2022-06-23T09:53:57.056000+00:00,"Biggest fight, lol"
2022-06-23T07:34:20.666000+00:00,🐊
2022-06-23T06:40:45.049000+00:00, 
2022-06-23T06:19:59.131000+00:00,I do im building alligator cages 
2022-06-23T06:07:00.879000+00:00,You seriously need to go out n do something man 💀
2022-06-23T05:06:48.072000+00:00,Congrats  ! You've unlocked **Chat Level 5!**
2022-06-23T05:06:47.778000+00:00,.
2022-06-23T03:03:58.967000+00:00,Hello there
2022-06-23T01:11:46.482000+00:00,Congrats  ! You've unlocked **Chat Level 1!**
2022-06-23T01:11:46.308000+00:00,Top 10 unsolved mysteries?
2022-06-23T01:03:46.386000+00:00,I always question why mobile gets REAL content than the actual game
2022-06-23T00:34:26.228000+00:00,The benefits of Bunny Hopping will be removed in the next update!Source: https://twitter.com/playapexmobile/status/1539743481978990593?s=21&t=MUXzWE4xslw3fyWDLRQ30A 
2022-06-22T22:44:08.376000+00:00,Glad to hear! 😄
