发文原始时间,发文日期,发文时间 HH:MM:SS,发布者名字,内容信息,机翻内容,被提及人,频道
2022-08-01 12:56:22,2022-08-01,12:56:22,Taskman,It was really well done so far. Few bugs (expected for early alpha) but overall really good compared to some tests I've been in.Lookin forward to future tests and trying to find bugs if it doesn't crash due to overheating the phone 😉, ,,general-chat
2022-08-01 11:50:09,2022-08-01,11:50:09,Lunun,"so yea, sooner or later, there will probably also be a closed or even an open beta", ,,general-chat
2022-08-01 11:49:47,2022-08-01,11:49:47,Lunun,there will probably be multiple Closed Alphas and stuff like that., ,AVGamingcouple,general-chat
2022-08-01 11:47:52,2022-08-01,11:47:52,Lunun,"First things first, thanks for letting me join the Closed Alpha! ❤️Due to the fact that the Alpha is over, I wanted to share general Feedback, some bugs, etc.Everything that comes to my mind, i guess.(because someone will ask, my Device is the ROG Phone 5, I was playing with the ROG Kunai controllers. Yes, the controller worked, even tho there wasnt any official support yet)The Tutorial Mission was easy, simple but still clever made. It guides you through all of the basics. The story is easy to understand, the cutscenes are sometimes buggy, but overall good.After the Tutorial Mission (and the Finsished Tutorial in the James Farley Post Office) the game is quite open, which i love.Sadly, the NYC Base of Operation currently feels empty and a bit dead. Back in Division1 it made sense to me, as we helped building the whole thing to be what it is now, but in TDResurgence it just felt too empty, but I bet most of it will be resolved in the finished game, as most of the Vendors that are there arent interactible yet.The Rest of the Story currently is good as well, even tho i think i never finished all of the main-missions because i was always occupied with something happening in the Open World.The Menu is perfectly made for mobile users, even with the controller attached it still felt good. I would probably prefer to navigate the menu with my fingers, because it is so simple and easy to master, or at least, easy to navigate pretty fast. But I think people with an external controller would prefer to use the controller to navigate everything.Exept the known lags here and there, the phone turning into an oven, the world not wanting to load all of the time, the enemy AI being more A than I and the little exploit-ish thingy i found here https://discord.com/channels/948237510914486303/948259165783085107/1000872377837695017, there wasnt much to dislike for me. So far, the game is very promising.Thanks yet again!", ,,feedback-and-bugs
2022-08-01 09:36:06,2022-08-01,09:36:06,AVGamingcouple,I really enjoyed it! Can't wait for this to be out! I like how it's between 1 and 2! Will there be a closed/open Beta??, ,,general-chat
2022-08-01 09:21:01,2022-08-01,09:21:01,fjwiuyhwgfahs,xd, ,,general-chat
2022-08-01 08:00:37,2022-08-01,08:00:37,Sternitzky,"It's between part 1 and 2, so it's actually 1.5.", ,catnip,general-chat
2022-08-01 07:59:38,2022-08-01,07:59:38,Raiden Sano,"I just want to say thanks for letting me be a part of the Alpha, I loved every minute of it and am sure looking forward to what's to come next 🖤🔥", ,,general-chat
2022-08-01 07:57:04,2022-08-01,07:57:04,𝓡𝓪𝓲𝓿𝔂,do we have the date of the closed beta?, ,,general-chat
2022-08-01 07:56:32,2022-08-01,07:56:32,𝓡𝓪𝓲𝓿𝔂,"I love the game, they managed to make one of the best mobile games", ,,general-chat
