Unnamed: 0,发文原始时间,发文日期,发文时间 HH:MM:SS,发布者名字,内容信息,机翻内容,被提及人,频道,new_comment
0,2022-08-01 12:56:22,2022-08-01,12:56:22,Taskman,It was really well done so far. Few bugs (expected for early alpha) but overall really good compared to some tests I've been in.Lookin forward to future tests and trying to find bugs if it doesn't crash due to overheating the phone 😉, ,,general-chat,bug expect alpha compar test lookin forward futur test bug crash overh phone
1,2022-08-01 11:50:09,2022-08-01,11:50:09,Lunun,"so yea, sooner or later, there will probably also be a closed or even an open beta", ,,general-chat,yea sooner close beta
2,2022-08-01 11:49:47,2022-08-01,11:49:47,Lunun,there will probably be multiple Closed Alphas and stuff like that., ,AVGamingcouple,general-chat,multipl close alpha stuff
3,2022-08-01 11:47:52,2022-08-01,11:47:52,Lunun,"First things first, thanks for letting me join the Closed Alpha! ❤️Due to the fact that the Alpha is over, I wanted to share general Feedback, some bugs, etc.Everything that comes to my mind, i guess.(because someone will ask, my Device is the ROG Phone 5, I was playing with the ROG Kunai controllers. Yes, the controller worked, even tho there wasnt any official support yet)The Tutorial Mission was easy, simple but still clever made. It guides you through all of the basics. The story is easy to understand, the cutscenes are sometimes buggy, but overall good.After the Tutorial Mission (and the Finsished Tutorial in the James Farley Post Office) the game is quite open, which i love.Sadly, the NYC Base of Operation currently feels empty and a bit dead. Back in Division1 it made sense to me, as we helped building the whole thing to be what it is now, but in TDResurgence it just felt too empty, but I bet most of it will be resolved in the finished game, as most of the Vendors that are there arent interactible yet.The Rest of the Story currently is good as well, even tho i think i never finished all of the main-missions because i was always occupied with something happening in the Open World.The Menu is perfectly made for mobile users, even with the controller attached it still felt good. I would probably prefer to navigate the menu with my fingers, because it is so simple and easy to master, or at least, easy to navigate pretty fast. But I think people with an external controller would prefer to use the controller to navigate everything.Exept the known lags here and there, the phone turning into an oven, the world not wanting to load all of the time, the enemy AI being more A than I and the little exploit-ish thingy i found here https://discord.com/channels/948237510914486303/948259165783085107/1000872377837695017, there wasnt much to dislike for me. So far, the game is very promising.Thanks yet again!", ,,feedback-and-bugs,let join close alpha alpha share feedback bug mind guess devic rog phone play rog kunai control control tho offici support tutori mission easi simpl clever guid basic stori easi understand cutscen buggi tutori mission finsish tutori jame farley post offic game love sad nyc base oper feel empti bit dead divis sens help build tdresurg empti bet resolv finish game vendor interact rest stori tho finish mainmiss occupi happen menu perfect mobil user control attach prefer navig menu finger simpl easi master easi navig pretti fast peopl extern control prefer control navig exept lag phone oven load time enemi ai exploitish thingi dislik game promis
4,2022-08-01 09:36:06,2022-08-01,09:36:06,AVGamingcouple,I really enjoyed it! Can't wait for this to be out! I like how it's between 1 and 2! Will there be a closed/open Beta??, ,,general-chat,enjoy wait close beta
5,2022-08-01 09:21:01,2022-08-01,09:21:01,fjwiuyhwgfahs,xd, ,,general-chat,xd
6,2022-08-01 08:00:37,2022-08-01,08:00:37,Sternitzky,"It's between part 1 and 2, so it's actually 1.5.", ,catnip,general-chat,
7,2022-08-01 07:59:38,2022-08-01,07:59:38,Raiden Sano,"I just want to say thanks for letting me be a part of the Alpha, I loved every minute of it and am sure looking forward to what's to come next 🖤🔥", ,,general-chat,let alpha love minut forward
8,2022-08-01 07:57:04,2022-08-01,07:57:04,𝓡𝓪𝓲𝓿𝔂,do we have the date of the closed beta?, ,,general-chat,close beta
9,2022-08-01 07:56:32,2022-08-01,07:56:32,𝓡𝓪𝓲𝓿𝔂,"I love the game, they managed to make one of the best mobile games", ,,general-chat,love game manag mobil game
10,2022-08-01 07:46:10,2022-08-01,07:46:10,Po-tato,Didn't get to even download the game, ,,general-chat,download game
11,2022-08-01 07:36:48,2022-08-01,07:36:48,PorterEva,well at least the majority i assume, ,,general-chat,major assum
12,2022-08-01 07:36:36,2022-08-01,07:36:36,PorterEva,looks like everyone enjoyed the test, ,,general-chat,enjoy test
13,2022-08-01 06:52:01,2022-08-01,06:52:01,I Ryuuka I,I met you briefly at a hostage mission 🤣 nice I used to have ROG phone 3 same one but my screen died 🤣🤣, ,Ðarkhirøs,feedback-and-bugs,met hostag mission nice rog phone screen die
14,2022-08-01 06:50:41,2022-08-01,06:50:41,I Ryuuka I,Amazing platest enjoyed every minute of it even redownloaded the division 1 on my PC gonna start again on that in the meantime before the next test, ,,general-chat,amaz platest enjoy minut redownload divis pc gonna start test
15,2022-08-01 06:41:38,2022-08-01,06:41:38,battlebot579,Healing build sounded so fun from what gregg told me abt it, ,,ask-the-team,heal build sound fun gregg told abt
16,2022-08-01 06:40:51,2022-08-01,06:40:51,battlebot579,I never got to play  , ,Cafearmuire,ask-the-team,play
17,2022-08-01 06:40:29,2022-08-01,06:40:29,Cafearmuire,Ok done........ But I miss it already.😢, ,battlebot579,ask-the-team,
18,2022-08-01 06:37:46,2022-08-01,06:37:46,battlebot579,Yes you got to uninstall now the servers closed, ,Cafearmuire,ask-the-team,uninstal server close
19,2022-08-01 06:36:53,2022-08-01,06:36:53,Ghoul,😄 Just messing with you ❤️, ,battlebot579,general-chat,mess
20,2022-08-01 06:36:48,2022-08-01,06:36:48,battlebot579,It will be when I get my hands on it, ,shayanjoon,general-chat,hand
21,2022-08-01 06:36:22,2022-08-01,06:36:22,shayanjoon,Best mobile game i've played!, ,,general-chat,mobil game play
22,2022-08-01 06:36:15,2022-08-01,06:36:15,battlebot579,"Just bc I didnt play doesnt mean I dont know, the trailers showed plenty, plus I saw little snippets from the footage I reported to James, cant confirm it breaks NDA unless I boot it up for the two seconds it takes to go, ah yep theres you player ID kekw", ,Ghoul,general-chat,bc play trailer plenti snippet footag report jame confirm break nda boot take yep player kekw
23,2022-08-01 06:33:41,2022-08-01,06:33:41,Cafearmuire,"Please remind me: Now that the  server is closed, we have to un-install the game right?", ,,ask-the-team,remind server close uninstal game
24,2022-08-01 06:33:35,2022-08-01,06:33:35,battlebot579,Div 3 will be like hitman 3 where you get a new story but they also rework the older mechanics (and include the original games as a dlc), ,,general-chat,div hitman stori rework mechan origin game dlc
25,2022-08-01 06:33:31,2022-08-01,06:33:31,catnip,"nah, this is div 0.5, we're a 1st wave agent but past the main events", ,,general-chat,nah div st wave agent main event
26,2022-08-01 06:33:13,2022-08-01,06:33:13,Ghoul,"you dont know, you didnt play", ,battlebot579,general-chat,play
27,2022-08-01 06:32:43,2022-08-01,06:32:43,Ghoul,"I dont mind spending some cash on games. But more often then not it's an endless money pit where only the ""whales"" can invest enough to be #1", ,,general-chat,mind spend cash game endless money pit whale invest
28,2022-08-01 06:32:37,2022-08-01,06:32:37,battlebot579,This is a bit of a div 0, ,catnip,general-chat,bit div
29,2022-08-01 06:31:28,2022-08-01,06:31:28,battlebot579,"I dont spend on things within games I can get for free, but that is the luxury of siege and the division games", ,catnip,general-chat,spend game free luxuri sieg divis game
30,2022-08-01 06:31:09,2022-08-01,06:31:09,catnip,"div3 should be div0, be about 1st wave with ability to go rogue", ,,general-chat,div div st wave abil rogu
