,word,counts
0,craft,22
1,weapon,22
2,test,20
3,mobil,19
4,lol,19
5,close,18
6,mission,18
7,divi,18
8,enemi,16
9,server,15
10,issu,15
11,drone,14
12,feel,13
13,heal,13
14,result,13
15,nice,12
16,phone,12
17,div,12
18,type,12
19,zoom,12
20,reproduc,12
21,build,11
22,peopl,11
23,gear,11
24,charact,11
25,alpha,10
26,hour,10
27,featur,10
28,exot,10
29,pretti,10
30,skill,10
31,base,9
32,hope,9
33,level,9
34,expect,9
35,ingam,9
36,bullet,9
37,king,9
38,spider,9
39,screen,8
40,jame,8
41,super,8
42,ubi,8
43,compat,8
44,stay,8
45,bug,8
46,scope,8
47,ui,8
48,talent,8
49,start,7
50,control,7
51,guess,7
52,bad,7
53,resurg,7
54,ubisoft,7
55,sound,7
56,diamondback,7
57,item,7
58,gameplay,7
59,call,7
60,death,7
61,activ,7
62,button,7
63,rang,7
64,set,7
65,person,7
66,cat,7
67,eat,7
68,error,7
69,love,6
70,minut,6
71,enjoy,6
72,pc,6
73,abil,6
74,fun,6
75,chang,6
76,fair,6
77,damn,6
78,kid,6
79,devic,6
80,friend,6
81,finish,6
82,moneti,6
83,increa,6
84,feedback,6
85,drop,6
86,week,6
87,sort,6
88,equip,6
89,ladi,6
90,element,6
91,damag,6
92,footag,5
93,report,5
94,nda,5
95,futur,5
96,system,5
97,hunter,5
98,beard,5
99,btw,5
100,atm,5
101,leav,5
102,experi,5
103,yea,5
104,read,5
105,random,5
106,delet,5
107,timer,5
108,mechan,5
109,count,5
110,stuff,5
111,scale,5
112,short,5
113,cosmet,5
114,pick,5
115,stori,5
116,cover,5
117,instanc,5
118,step,5
119,aoe,5
120,firefli,5
121,select,5
122,menu,5
123,carri,5
124,fli,5
125,psp,5
126,happen,5
127,hey,5
128,bungi,5
129,let,4
130,assum,4
131,die,4
132,hand,4
133,take,4
134,simpli,4
135,diablo,4
136,crash,4
137,oper,4
138,progress,4
139,fix,4
140,axe,4
141,tech,4
142,rip,4
143,singl,4
144,chat,4
145,channel,4
146,lock,4
147,proper,4
148,allow,4
149,sleep,4
150,bed,4
151,talk,4
152,dev,4
153,discord,4
154,health,4
155,save,4
156,weird,4
157,gun,4
158,rng,4
159,standard,4
160,messag,4
161,rule,4
162,burst,4
163,spoiler,4
164,pictur,4
165,app,4
166,check,4
167,street,4
168,shield,4
169,healer,4
170,mender,4
171,box,4
172,view,4
173,wasp,4
174,mosquito,4
175,ratchet,4
176,ps,4
177,samsung,4
178,shoot,4
179,roleplay,4
180,forward,3
181,manag,3
182,uninst,3
183,break,3
184,st,3
185,agent,3
186,mind,3
187,spend,3
188,free,3
189,wait,3
190,popular,3
191,lose,3
192,approach,3
193,opportun,3
194,smartphon,3
195,true,3
196,reward,3
197,honest,3
198,xperia,3
199,interact,3
200,team,3
201,chanc,3
202,follow,3
203,push,3
204,continu,3
205,communiti,3
206,agentlewisoppo,3
207,cutsceen,3
208,basic,3
209,happi,3
210,odd,3
211,extrem,3
212,tbh,3
213,amount,3
214,moment,3
215,constant,3
216,deal,3
217,notic,3
218,reason,3
219,final,3
220,lmg,3
221,balanc,3
222,shooter,3
223,relea,3
224,spent,3
225,mod,3
226,length,3
227,hit,3
228,worth,3
229,understand,3
230,left,3
231,npcs,3
232,haha,3
233,tick,3
234,jestmidev,3
235,oneplus,3
236,oxygeno,3
237,razer,3
238,kishiissu,3
239,respon,3
240,tree,3
241,aegi,3
242,visual,3
243,aura,3
244,piec,3
245,durat,3
246,cooldown,3
247,target,3
248,chem,3
249,hive,3
250,list,3
251,moss,3
252,water,3
253,data,3
254,caus,3
255,instal,3
256,prob,3
257,run,3
258,hell,3
259,clank,3
260,descript,3
