,word,counts
0,game,1275
1,play,790
2,test,395
3,time,394
4,phone,374
5,close,316
6,mobil,295
7,divi,286
8,server,273
9,mission,263
10,hope,251
11,div,224
12,lol,222
13,jame,221
14,craft,218
15,feel,204
16,alpha,189
17,stay,184
18,control,180
19,bug,179
20,enemi,175
21,build,173
22,enjoy,155
23,start,148
24,yeah,148
25,player,138
26,fun,134
27,bit,123
28,wait,123
29,crash,120
30,base,119
31,interact,118
32,peopl,118
33,ubisoft,117
34,pc,115
35,chang,114
36,sound,113
37,gon,112
38,stori,110
39,super,109
40,devic,108
41,minut,108
42,diamondback,108
43,compat,106
44,leav,106
45,chat,106
46,beta,102
47,gregg,101
48,easi,100
49,realism,100
50,type,97
51,gear,97
52,expect,96
53,report,96
54,guess,92
55,main,91
56,love,90
57,ubi,90
58,tho,87
59,random,85
60,charact,85
61,launch,84
62,weird,83
63,forward,82
64,mind,82
65,finish,82
66,system,82
67,happen,81
68,st,81
69,diablo,81
70,honest,81
71,depend,80
72,rip,80
73,level,80
74,beard,79
75,lock,79
76,cutsceen,78
77,channel,77
78,rog,76
79,tutori,76
80,strong,76
81,class,76
82,god,76
83,op,76
84,navig,75
85,basic,73
86,nice,73
87,futur,72
88,feedback,69
89,hour,68
90,heal,67
91,discord,67
92,offici,66
93,gameplay,66
94,issu,66
95,guy,65
96,damn,65
97,talk,65
98,zoom,65
99,menu,64
100,day,64
101,fair,64
102,experi,62
103,scope,62
104,relea,62
105,hunter,61
106,shield,61
107,share,59
108,lose,59
109,progress,59
110,mechan,58
111,abil,58
112,btw,58
113,yea,57
114,care,57
115,immort,57
116,min,57
117,empti,56
118,health,56
119,oper,55
120,told,55
121,mess,55
122,money,55
123,continu,55
124,final,55
125,simpl,54
126,perfect,54
127,prefer,54
128,fast,54
129,lag,54
130,wave,54
131,set,54
132,meet,54
133,speciali,54
134,assum,53
135,uninst,53
136,event,53
137,spend,53
138,rush,53
139,approach,53
140,opportun,53
141,teleport,53
142,true,53
143,reward,53
144,lmg,53
145,port,53
146,agentlewisoppo,53
147,delet,53
148,timer,53
149,bonus,53
150,armor,53
151,voic,53
152,sad,52
153,pretti,52
154,nda,52
155,cash,52
156,shroud,52
157,extrem,52
158,repetit,52
159,vari,52
160,spawn,52
161,xd,51
162,hostag,51
163,launcher,51
164,topic,51
165,manag,50
166,bloomer,50
167,grenad,50
168,bye,50
169,offtop,50
170,publish,50
171,bullet,48
172,break,47
173,singl,47
174,exot,47
175,support,44
176,attach,43
177,download,43
178,agent,43
179,king,43
180,drop,43
181,stuff,41
182,screen,41
183,bad,41
184,samsung,41
185,popular,40
186,dz,40
187,team,40
188,kid,39
189,friend,39
190,dev,39
191,gb,38
192,resurg,38
193,featur,38
194,overh,37
195,hand,37
196,confirm,37
197,question,36
198,version,35
199,kill,35
