发布时间,状态,游戏时长,评论
总时数 27.6 小时,推荐,总时数 27.6 小时,真的没有人玩了一半信徒都凭空消失吗。我感觉这个bug有点离谱
总时数 20.1 小时,推荐,总时数 20.1 小时,"5 минут в данже, остальные 40 следишь за балбесами"
总时数 15.4 小时,推荐,总时数 15.4 小时,"> ""Recruit"" a new follower > Name them after someone you dislike > Feed them poop until they die Cheaper than therapy"
总时数 4.2 小时,推荐,总时数 4.2 小时,好玩，但你游戏逻辑狗屁不通，比如有个教徒对我说另一个教徒干了什么什么坏事让我处决它，但它已经嗝屁了，我拒绝扣我35信仰，同意任务直接失败 还有许多像这种问题，希望修复吧 小羊可爱小羊可爱小羊可爱，价格不可爱
总时数 13.8 小时,不推荐,总时数 13.8 小时,肉鸽元素不够，根本爽不起来，建造部分中规中矩，完全做不到自动。游戏时长大概不到20小时，对不起118这个价格。
总时数 14.2 小时,推荐,总时数 14.2 小时,"06:00 Утренняя проповедь. 06:30 Принять пищу из экскрементов. 07:00 Обосрaться, облевaться. 08:30 Помолится. 13:00 Работать в каменоломне. 14:00 Помолится. 18:00 Принести в жертву инакомыслящих. 21:00 Танцы вокруг костра."
总时数 20.9 小时,推荐,总时数 20.9 小时,让我看看我可爱的教徒们在想什么。 教徒：我想让那人吃屎
总时数 24.8 小时,推荐,总时数 24.8 小时,便宜点就更好了
总时数 43.1 小时,推荐,总时数 43.1 小时,you can fish in this game!!
总时数 55.8 小时,推荐,总时数 55.8 小时,　たくさんレビューが書かれると思うので僕からは手短に。序盤に教団の名前を決定できる機会があるのですが、そこからさらに10時間近くプレイしてもまだ名前の再変更の機会に巡り会えていません。もしかするとエンディングまでこのままなのかもしれません。 　教団名は、村に戻るたびに画面いっぱいに表示されます。ですから、くれぐれも面白さ重視とかウケ狙いで「世界平和○○家庭連合」とか「○○の科学」とか付けないようにしましょう。楽しいのは最初だけでだんだん辛くなってきます。 以上です。 #ゲームはめっちゃ面白いです。買い。
总时数 27.6 小时,推荐,总时数 27.6 小时,真的没有人玩了一半信徒都凭空消失吗。我感觉这个bug有点离谱
总时数 20.1 小时,推荐,总时数 20.1 小时,"5 минут в данже, остальные 40 следишь за балбесами"
