,国家,地区
0,中华人民共和国,东亚
1,蒙古,东亚
2,朝鲜,东亚
3,韩国,东亚
4,日本,东亚
5,缅甸,东南亚
6,泰国,东南亚
7,老挝,东南亚
8,柬埔寨,东南亚
9,越南,东南亚
10,菲律宾,东南亚
11,马来西亚,东南亚
12,文莱,东南亚
13,新加坡,东南亚
14,印度尼西亚,东南亚
15,东帝汶,东南亚
16,巴基斯坦,南亚
17,印度,南亚
18,尼泊尔,南亚
19,不丹,南亚
20,孟加拉国,南亚
21,马尔代夫,南亚
22,斯里兰卡,南亚
23,哈萨克斯坦,中亚
24,乌兹别克斯坦,中亚
25,吉尔吉斯斯坦,中亚
26,土库曼斯坦,中亚
27,塔吉克斯坦,中亚
28,土耳其,西亚
29,格鲁吉亚,西亚
30,亚美尼亚,西亚
31, 阿塞拜疆,西亚
32,伊朗,西亚
33,阿富汗,西亚
34,黎巴嫩,西亚
35,以色列,西亚
36,巴勒斯坦,西亚
37,约旦,西亚
38,叙利亚,西亚
39,伊拉克,西亚
40,沙特阿拉伯,西亚
41,科威特,西亚
42,巴林,西亚
43,卡塔尔,西亚
44,阿拉伯联合酋长国,西亚
45,也门,西亚
46,阿曼,西亚
47,冰岛,北欧
48,丹麦,北欧
49,挪威,北欧
50,瑞典,北欧
51,芬兰,北欧
52,爱尔兰,西欧
53,英国,西欧
54,荷兰,西欧
55,比利时,西欧
56,卢森堡,西欧
57,法国,西欧
58,摩纳哥,西欧
59,德国,中欧
60,瑞士,中欧
61,列支敦士登,中欧
62,奥地利,中欧
63,波兰,中欧
64,捷克,中欧
65,斯洛伐克,中欧
66,匈牙利,中欧
67,爱沙尼亚,东欧
68,拉脱维亚,东欧
69,立陶宛,东欧
70,白俄罗斯,东欧
71,乌克兰,东欧
72,摩尔多瓦,东欧
73,俄罗斯,东欧
74,葡萄牙,南欧
75,西班牙,南欧
76,安道尔,南欧
77,意大利,南欧
78,圣马力诺,南欧
79,梵蒂冈,南欧
80,马耳他,南欧
81,斯洛文尼亚,南欧
82,克罗地亚,南欧
83,波黑,南欧
84,黑山,南欧
85,阿尔巴尼亚,南欧
86,塞尔维亚,南欧
87,北马其顿,南欧
88,罗马尼亚,南欧
89,保加利亚,南欧
90,希腊,南欧
91,塞浦路斯 ,南欧
92,摩洛哥,北非
93,突尼斯,北非
94,阿尔及利亚,北非
95,利比亚,北非
96,埃及,北非
97,尼日尔,西非
98,布基纳法索,西非
99,马里,西非
100,毛里塔尼亚,西非
101,尼日利亚,西非
102,贝宁,西非
103,多哥,西非
104,加纳,西非
105,科特迪瓦,西非
106,利比里亚,西非
107,塞拉利昂,西非
108,几内亚,西非
109,几内亚比绍,西非
110,塞内加尔,西非
111,冈比亚,西非
112,佛得角,西非
113,圣多美和普林西比,中非
114,喀麦隆,中非
115,赤道几内亚,中非
116,加蓬,中非
117,刚果共和国,中非
118,乍得,中非
119,中非,中非
120,刚果民主共和国,中非
121,苏丹,东非
122,南苏丹,东非
123, 乌干达,东非
124,卢旺达,东非
125,布隆迪,东非
126,厄立特里亚,东非
127,埃塞俄比亚,东非
128,吉布提,东非
129,索马里,东非
130,肯尼亚,东非
131,坦桑尼亚,东非
132,塞舌尔,东非
133,安哥拉,南非
134,赞比亚,南非
135,马拉维,南非
136,纳米比亚,南非
137,博茨瓦纳,南非
138,津巴布韦,南非
139,南非,南非
140,莱索托,南非
141,斯威士兰,南非
142,莫桑比克,南非
143, 科摩罗,南非
144,马达加斯加,南非
145,毛里求斯,南非
146,帕劳,大洋洲
147,密克罗尼西亚联邦,大洋洲
148,马绍尔群岛,大洋洲
149,瑙鲁,大洋洲
150,基里巴斯,大洋洲
151,巴布亚新几内亚,大洋洲
152,所罗门群岛,大洋洲
153,瓦努阿图,大洋洲
154,斐济,大洋洲
155,图瓦卢,大洋洲
156,汤加,大洋洲
157,萨摩亚,大洋洲
158,纽埃,大洋洲
159,库克群岛,大洋洲
160,澳大利亚,大洋洲
161,新西兰,大洋洲
162,加拿大,北美
163,美国,北美
164,墨西哥,中美洲
165,危地马拉,中美洲
166,伯利兹,中美洲
167,萨尔瓦多,中美洲
168,洪都拉斯,中美洲
169,尼加拉瓜,中美洲
170,哥斯达黎加,中美洲
171,巴拿马,中美洲
172,巴哈马,加勒比地区
173,古巴,加勒比地区
174,牙买加,加勒比地区
175,海地,加勒比地区
176,多米尼加共和国,加勒比地区
177,圣基茨和尼维斯,加勒比地区
178,安提瓜和巴布达,加勒比地区
179,多米尼克,加勒比地区
180,圣卢西亚,加勒比地区
181,巴巴多斯,加勒比地区
182,圣文森特和格林纳丁斯,加勒比地区
183,格林纳达,加勒比地区
184,特立尼达和多巴哥,加勒比地区
185,哥伦比亚,南美洲
186,委内瑞拉,南美洲
187,圭亚那,南美洲
188,苏里南,南美洲
189,厄瓜多尔,南美洲
190,秘鲁,南美洲
191,玻利维亚,南美洲
192,巴西,南美洲
193,智利,南美洲
194,阿根廷,南美洲
195,乌拉圭,南美洲
196,巴拉圭,南美洲
