,0,1
0,environmental,6
1,china,812
2,cooperation,531
3,korea,908
4,countries,527
5,exchanges,407
6,field,116
7,relations,503
8,ambassador,791
9,xing,294
10,environment,19
11,minister,216
12,han,26
13,hwa-jin,1
14,establishment,178
15,diplomatic,167
16,ecological,5
17,mountains,4
18,neighbors,64
19,ties,134
20,closer,14
21,achieved,73
22,construction,115
23,civilization,8
24,contribution,77
25,remarkable,15
26,addition,176
27,30th,26
28,anniversary,128
29,strengthen,75
30,development,518
31,korea-china,182
32,technology,27
33,july,85
34,haiming,295
35,met,254
36,korean,436
37,hai-ming,7
38,congratulated,62
39,inauguration,26
40,eternal,1
41,inseparable,12
42,cooperative,82
43,partners,30
44,political,70
45,mutual,97
46,trust,26
47,steadily,4
48,deepened,9
49,economic,201
50,"
",963
51,practical,27
52,semiconductors,2
53,industrial,27
54,yang,29
55,hyang-ja,1
56,strengthening,41
57,people,382
58,trade,170
59,market,21
60,south,236
61,fair,5
62,national,234
63,assembly,89
64,chairman,239
65,special,65
66,committee,86
67,competitiveness,2
68,power,20
69,semiconductor,3
70,industry,54
71,exchanged,60
72,views,40
73,measures,26
74,including,163
75,bringing,3
76,benefits,7
77,principles,3
78,trends,3
79,common,81
80,cooperate,15
81,adhering,3
82,president,312
83,sino-korea,181
84,legislative,5
85,bodies,4
86,promote,149
87,jeong,26
88,jin-seok,2
89,actively,117
90,sustainable,9
91,corona,12
92,vice,137
93,friendly,267
94,close,113
95,time,71
96,government,146
97,inaugurated,1
98,guidance,10
99,xi,61
100,jinping,58
101,yun,12
102,seok-yeol,4
103,started,10
104,smoothly,11
105,communication,32
106,gradually,3
107,deepening,47
108,standing,19
109,history,61
110,incheon,21
111,city,72
112,mayor,47
113,jeong-bok,5
114,yoo,19
115,singh,38
116,friendship,205
117,humanities,29
118,attaches,32
119,yu,11
120,deepen,47
121,contribute,33
122,bilateral,187
123,china-korea,181
124,peoples,76
125,respect,7
126,benefit,13
127,visited,141
128,saeol,2
129,cultural,181
130,foundation,32
131,ji,3
132,yong-taek,2
133,chatted,1
134,representatives,91
135,local,16
136,media,58
137,figures,25
138,culture,109
139,tourism,32
140,sports,26
141,park,107
142,bo-gyun,1
143,exchange,168
144,maintained,16
145,relationship,64
146,achievements,92
147,human,19
148,sound,3
149,china-rok,42
150,strategic,93
151,partnership,42
152,marks,20
153,traditional,23
154,built,2
155,strong,30
156,natural,8
157,affinity,2
158,international,234
159,foreign,208
160,chinese,731
161,association,218
162,language,22
163,newspapers,7
164,situation,151
165,role,111
166,fairness,2
167,reports,10
168,councilor,11
169,ceremony,144
170,times,30
171,ceo,21
172,daily,19
173,community,73
174,influence,9
175,objective,2
176,country,104
177,emphasized,30
178,understand,19
179,reporter,6
180,confrontation,1
181,newspaper,19
182,aspects,1
183,true,12
184,wang,46
185,yi,10
186,7th,14
187,award,17
188,hosted,99
189,held,289
190,press,7
191,flowers,5
192,flower,6
193,light,1
194,【u-star30,1
195,song,34
196,gold,2
197,journey,6
198,student,27
199,longevity,3
200,contest,21
201,fire,4
202,yeon,4
203,dream,20
204,team,21
205,snowflake,1
206,future,128
207,eyes,3
208,谁会成为u-star30,1
209,main角呢,1
210,main,9
211,character,2
212,u-star30,1
213,middle,13
214,school,42
215,finalist,1
216,list】,1
217,blue,19
218,blossoms,2
219,myongji,1
220,star,5
221,korea-chinese,8
222,guo,2
223,reverse,3
224,life,80
225,幸运lucky,1
226,尔bao,1
227,earljhl,1
228,dancejhl,1
229,dancejhljhl5紫,1
230,提zu,1
231,te,1
232,初见奇缘kiyeon春之花spring,1
233,flower6王,1
234,悦wang,1
235,wei红・savagered・savage红・savageminutered・savage※,1
236,remark,1
237,rank,1
238,（原曲-脸红的思春期）our,1
239,university,87
240,love,12
241,semi-finals,2
242,platform,3
243,salt,1
244,company,19
245,yo,1
246,moon,22
247,nights,1
248,tablets,2
249,arirang,2
250,kim,181
251,summer,2
252,red,12
253,savage,1
254,friend,18
255,method,2
256,voting,3
257,wechat,1
258,youtube,1
259,person,5
260,selecting,1
261,gather,2
262,friends,27
263,prepare,2
264,diligently~,1
265,repeating,1
266,practice~you,1
267,brilliant,7
268,ideas,2
269,editing,1
270,producing~,1
271,effort,8
272,devotion,2
273,check,1
274,semi-final,1
275,notice,1
276,step,3
277,lee,162
278,director,150
279,major,52
280,journalist,2
281,dialogue,16
282,sungkyunkwan,7
283,hee-ok,3
284,jong-guk,1
285,companies,58
286,event,235
287,continue,111
288,develop,64
289,social,42
290,reporters,8
291,hoped,86
292,public,62
293,sentiment,4
294,in-depth,22
295,outlets,14
296,april,81
297,jointly,41
298,security,43
299,forum,72
300,global,71
301,initiative,9
302,potential,16
303,attended,358
304,proclamation,1
305,8th,14
306,speech,96
307,unfolding,1
308,unprecedented,1
309,challenge,2
310,dealt,2
311,sternly,2
312,mankind,22
313,proposed,3
314,annual,11
315,meeting,107
316,boao,5
317,week,10
318,stressing,1
319,prerequisite,1
320,humanity,7
321,website,5
322,address,7
323,embassy,447
324,changed,3
325,http,2
326,//kr.china-embassy.gov.cn,1
327,diplomacy,19
328,parliamentary,16
329,congratulatory,159
330,affairs,188
331,unification,18
332,envoys,5
333,united,28
334,congress,35
335,challenges,8
336,destiny,21
337,promoting,142
338,prosperity,28
339,delivered,83
340,remarks,43
341,'meeting,1
342,promotion,33
343,chung,24
344,eui-yong,2
345,candidate,4
346,jin,8
347,kwang-jae,2
348,safety,21
349,samyang,2
350,foods,1
351,food,8
352,consumption,1
353,shelf,2
354,quality,8
355,product,3
356,consumers,1
357,jung-soo,1
358,noodles,1
359,export,5
360,months,5
361,exported,3
362,largest,27
363,fulfills,1
364,responsibilities,1
365,15th,23
366,representative,33
367,vice-chairman,40
368,buldak,1
369,fried,1
370,domestic,21
371,expiration,1
372,dates,1
373,values,5
374,​​food,1
375,hygiene,1
376,received,24
377,certification,1
378,explained,44
379,ramyun,1
380,domestically,1
381,compared,3
382,products,4
383,region,50
384,online,27
385,teams,3
386,final,5
387,fri,2
388,score,1
389,dance,12
390,students,95
391,competition,16
392,preliminary,1
393,regions,9
394,finals,2
395,regulations,2
396,performance,33
397,total,11
398,prize,7
399,program,9
400,content,5
401,-china,1
402,participate,9
403,submission,1
404,6th,22
405,screening,2
406,mon,1
407,consists,3
408,jury,1
409,advance,2
410,judging,1
411,selected,5
412,category,2
413,instant,1
414,creativity,2
415,training,6
416,scholarships,6
417,excellence,2
418,krw,2
419,money/team,1
420,encouragement,5
421,meetings,10
422,carbon,4
423,conference,41
424,growth,33
425,goal,7
426,gdp,3
427,achieve,29
428,interview,47
429,introduced,163
430,looked,20
431,stable,10
432,conferences,9
433,party,133
434,recovery,12
435,policies,17
436,economy,104
437,increases,1
438,livelihood,5
439,convenience,9
440,reduction,2
441,live,9
442,green,12
443,path,10
444,double,2
445,president-elect,3
446,partner,17
447,leaders,53
448,office,48
449,rok-china,9
450,march,83
451,prevented,5
452,message,14
453,opinions,31
454,neighbor,7
455,joint,61
456,efforts,79
457,governments,22
458,developed,56
459,dramatically,5
460,fields,89
461,substantial,2
462,positive,88
463,ethnic,6
464,nation,17
465,unity,4
466,sense,8
467,cpc,4
468,ensure,3
469,central,43
470,mongolia,2
471,stability,36
472,epidemic,49
473,control,15
474,fostering,1
475,stressed,3
476,philosophy,5
477,carried,8
478,emissions,2
479,high-quality,2
480,forward,18
481,self-governance,1
482,border,1
483,founding,41
484,era,34
485,leadership,26
486,maintain,15
487,autonomous,11
488,delegation,96
489,education,69
490,stick,1
491,american,5
492,indian,3
493,indians,1
494,u.s.,1
495,native,2
496,americans,1
497,genocide,1
498,tribes,1
499,children,14
500,white,2
501,reservations,1
502,forced,2
503,land,5
504,rate,4
505,tribal,1
506,women,43
507,reservation,1
508,health,20
509,population,3
510,schools,9
511,massacre,1
512,average,2
513,living,39
514,system,34
515,result,3
516,creek,1
517,communities,3
518,boarding,3
519,individual,4
520,conditions,10
521,forcibly,1
522,rights,13
523,assimilation,1
524,war,24
525,soldiers,3
526,olympics,19
527,hwang,21
528,beijing,36
529,winter,21
530,sincere,9
531,medal,2
532,congratulations,11
533,dae-heon,1
534,february,80
535,daeheon,1
536,won,24
537,1500m,1
538,short,5
539,track,3
540,response,38
541,send,11
542,behalf,49
